entry_date,exit_date,position,gross_return,net_return,gross_equity,net_equity,ticker,model,horizon,cost_bps,strategy
2020-07-27,2020-08-03,-1,-0.14900857299015624,-0.14950857299015624,1.1204169092065974,1.1070864053490852,AAPL,LightGBM,5,5.0,sign
2020-08-03,2020-08-10,1,0.034790599339321604,0.034290599339321604,1.1593968849878051,1.1450490617089206,AAPL,LightGBM,5,5.0,sign
2020-08-10,2020-08-17,-1,-0.01667736123083885,-0.01717736123083885,1.1400612043269542,1.1253801403489134,AAPL,LightGBM,5,5.0,sign
2020-08-17,2020-08-24,1,0.09816111667856275,0.09766111667856275,1.251970885225595,1.235286021543266,AAPL,LightGBM,5,5.0,sign
2020-08-24,2020-08-31,-1,-0.025286495945719967,-0.025786495945719967,1.2203129285121785,1.203432323556936,AAPL,LightGBM,5,5.0,sign
2020-08-31,2020-09-08,-1,0.12569741502808696,0.12519741502808696,1.373703109151514,1.3540989396275087,AAPL,LightGBM,5,5.0,sign
2020-09-08,2020-09-15,-1,-0.024109211381498685,-0.024609211381498686,1.340584210517558,1.3207756325907523,AAPL,LightGBM,5,5.0,sign
2020-09-15,2020-09-22,-1,0.03228322076663859,0.03178322076663859,1.3838625865419663,1.362754136104581,AAPL,LightGBM,5,5.0,sign
2020-09-22,2020-09-29,-1,-0.020391725508285052,-0.020891725508285053,1.355643240536017,1.334283850757804,AAPL,LightGBM,5,5.0,sign
2020-09-29,2020-10-06,-1,0.00815139543897403,0.007651395438974029,1.3666936246637984,1.344492984127789,AAPL,LightGBM,5,5.0,sign
2020-10-06,2020-10-13,-1,-0.07016608832675697,-0.07066608832675697,1.2707980790800226,1.2494829241567098,AAPL,LightGBM,5,5.0,sign
2020-10-13,2020-10-20,-1,0.02964489168559159,0.02914489168559159,1.3084707504886077,1.2858989686442535,AAPL,LightGBM,5,5.0,sign
2020-10-20,2020-10-27,-1,0.007744052808835833,0.0072440528088358325,1.3186036170792084,1.29521408867994,AAPL,LightGBM,5,5.0,sign
2020-10-27,2020-11-03,-1,0.052830155345859886,0.052330155345859886,1.3882656510091156,1.3629928431467075,AAPL,LightGBM,5,5.0,sign
2020-11-03,2020-11-10,-1,-0.05007242536263812,-0.05057242536263812,1.3187518228154473,1.294062989316861,AAPL,LightGBM,5,5.0,sign
2020-11-10,2020-11-17,-1,-0.029490369345057665,-0.029990369345057666,1.2798613444861517,1.2552535623114789,AAPL,LightGBM,5,5.0,sign
2020-11-17,2020-11-24,-1,0.03534635432010069,0.03484635432010069,1.3250997770489596,1.2989945727053533,AAPL,LightGBM,5,5.0,sign
2020-11-24,2020-12-02,-1,-0.06868111303176394,-0.06918111303176394,1.2340904494830949,1.2091286823433764,AAPL,LightGBM,5,5.0,sign
2020-12-02,2020-12-09,-1,0.01056226058187959,0.01006226058187959,1.2471252343921442,1.2212952502221404,AAPL,LightGBM,5,5.0,sign
2020-12-09,2020-12-16,1,0.04951551026228129,0.04901551026228129,1.3088772767340384,1.281157660092679,AAPL,LightGBM,5,5.0,sign
2020-12-16,2020-12-23,1,0.024646030947847786,0.024146030947847785,1.3411359066033604,1.3120925326023491,AAPL,LightGBM,5,5.0,sign
2020-12-23,2020-12-31,-1,-0.013210107199512544,-0.013710107199512545,1.3234193575080144,1.294103603324691,AAPL,LightGBM,5,5.0,sign
2020-12-31,2021-01-08,1,-0.004823267600217673,-0.005323267600217674,1.317036151799445,1.2872147435417878,AAPL,LightGBM,5,5.0,sign
2021-01-08,2021-01-15,-1,0.037182912144158475,0.036682912144158475,1.3660073913224844,1.3344335288897968,AAPL,LightGBM,5,5.0,sign
2021-01-15,2021-01-25,-1,-0.12411513964960474,-0.12461513964960474,1.196465193186102,1.16814290833408,AAPL,LightGBM,5,5.0,sign
2021-01-25,2021-02-01,1,-0.061432961739322556,-0.061932961739322556,1.122962792750669,1.0957963582861645,AAPL,LightGBM,5,5.0,sign
